instrument,register,n_samples,mean_centroid_hz,mean_spread_hz,V1_spread_centroid,V2_energy_1khz,V3_inv_formant_disp,V4_mfcc1,V1_z,V2_z,V3_z,V4_z,Volume_index,Density_index
Contrabass_Ensemble,grave,13,195.7,754.2,3.8534,1.0000,,40.55,4.065,0.925,0.000,0.894,1.961,-1.961
Contrabass_Ensemble,médium,12,213.8,713.2,3.3758,1.0000,,43.28,3.261,0.925,0.000,1.200,1.795,-1.795
Contrabass+sordina,grave,11,699.5,2040.1,2.9567,0.9986,,36.62,2.555,0.921,0.000,0.453,1.310,-1.310
Contrabass_Ensemble,aigu,12,400.5,964.4,2.4727,0.9988,,43.83,1.740,0.922,0.000,1.263,1.308,-1.308
Contrabass,grave,13,640.2,1763.0,2.7700,0.9962,,38.48,2.240,0.914,0.000,0.662,1.272,-1.272
Bass_Tuba,médium,12,385.2,985.1,2.5587,1.0000,,39.53,1.885,0.925,0.000,0.780,1.196,-1.196
Bass_Flute,grave,2,579.3,1275.2,2.2043,0.9952,,44.48,1.288,0.911,0.000,1.336,1.178,-1.178
Harp,médium,24,503.0,1267.0,2.5428,0.9967,,39.32,1.858,0.915,0.000,0.756,1.176,-1.176
Trombone+sordina_harmon,grave,17,651.7,1923.8,3.0001,0.9903,,32.35,2.628,0.896,0.000,-0.026,1.166,-1.166
Contrabass,médium,41,830.1,2019.7,2.5915,0.9882,,38.23,1.940,0.890,0.000,0.634,1.155,-1.155
Contrabass_Flute,grave,4,738.2,1497.2,2.0304,0.9734,,46.70,0.995,0.846,0.000,1.584,1.142,-1.142
Violoncello+sordina,grave,7,887.5,2232.3,2.5360,0.9948,,38.25,1.846,0.910,0.000,0.635,1.130,-1.130
Guitar,grave,35,461.5,1042.2,2.2769,0.9970,,41.84,1.410,0.916,0.000,1.039,1.122,-1.122
Contrabass_Tuba,médium,12,386.8,670.7,1.7425,0.9999,,48.31,0.510,0.925,0.000,1.765,1.067,-1.067
Bass_Tuba,grave,12,388.2,942.0,2.4041,1.0000,,38.38,1.624,0.925,0.000,0.650,1.067,-1.067
Contrabass+sordina,médium,18,997.3,2413.2,2.5628,0.9925,,36.03,1.892,0.903,0.000,0.386,1.060,-1.060
Harp,grave,14,602.7,1484.7,2.5013,0.9957,,36.83,1.788,0.912,0.000,0.477,1.059,-1.059
Violoncello+sordina_piombo,grave,16,1026.0,2687.2,2.6681,0.9982,,34.13,2.069,0.920,0.000,0.173,1.054,-1.054
Horn+sordina,grave,14,673.2,1699.4,2.5322,0.9972,,35.44,1.840,0.917,0.000,0.321,1.026,-1.026
Horn,pédale,3,554.9,1440.0,2.5667,0.9997,,34.37,1.898,0.924,0.000,0.201,1.008,-1.008
Horn+sordina,médium,17,743.0,1899.2,2.5467,0.9972,,34.35,1.864,0.917,0.000,0.199,0.993,-0.993
Guitar,médium,50,632.9,1262.3,2.0166,0.9855,,40.64,0.972,0.882,0.000,0.904,0.919,-0.919
Violoncello,grave,9,1002.3,2146.9,2.1615,0.9789,,38.48,1.216,0.862,0.000,0.661,0.913,-0.913
Contrabass_Tuba,grave,20,445.2,646.4,1.4634,0.9979,,48.36,0.040,0.919,0.000,1.771,0.910,-0.910
Contrabass_Tuba,aigu,10,492.3,830.5,1.6661,0.9995,,44.47,0.381,0.924,0.000,1.334,0.880,-0.880
Violoncello_Ensemble,grave,7,788.8,1427.7,1.8204,0.9929,,42.02,0.641,0.904,0.000,1.058,0.868,-0.868
